Station Name,Measurement Timestamp,Air Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
63rd Street Weather Station,09/27/2018 10:00:00 AM,16.4,61,0.0,0.0,260.3,231,2.5,4.7,996.3,484
63rd Street Weather Station,09/27/2018 11:00:00 AM,17.1,51,0.0,0.0,260.3,244,3.6,5.7,995.4,468
63rd Street Weather Station,09/27/2018 01:00:00 PM,18.2,51,0.0,0.0,260.3,248,3.1,5.3,994.8,377
Foster Weather Station,09/27/2018 01:00:00 PM,17.89,39,,0.0,,249,1.4,2.3,993.6,0
63rd Street Weather Station,09/27/2018 03:00:00 PM,19.5,47,0.0,0.0,260.3,249,3.1,5.7,992.9,461
Foster Weather Station,09/27/2018 03:00:00 PM,19.39,37,,0.0,,209,4.0,4.6,991.9,0
63rd Street Weather Station,09/27/2018 04:00:00 PM,20.2,38,0.0,0.0,260.3,212,4.1,9.2,992.3,412
Foster Weather Station,09/27/2018 04:00:00 PM,19.78,33,,0.0,,178,2.4,4.4,991.5,0
63rd Street Weather Station,09/27/2018 05:00:00 PM,20.4,38,0.0,0.0,260.3,212,2.7,6.0,991.7,37
Foster Weather Station,09/27/2018 05:00:00 PM,20.0,33,,0.0,,200,2.5,3.1,990.9,0
63rd Street Weather Station,09/27/2018 06:00:00 PM,20.1,36,0.0,0.0,260.3,250,4.0,5.2,991.7,51
Foster Weather Station,09/27/2018 06:00:00 PM,19.56,34,,0.0,,211,2.2,2.4,990.9,0
63rd Street Weather Station,09/27/2018 08:00:00 PM,18.7,44,0.0,0.0,260.3,203,2.7,6.3,991.6,1
63rd Street Weather Station,09/27/2018 11:00:00 PM,16.7,50,0.0,0.0,260.3,219,2.3,4.6,993.0,2
Foster Weather Station,09/27/2018 11:00:00 PM,17.5,38,,0.0,,211,1.7,2.2,991.9,0
63rd Street Weather Station,09/28/2018 12:00:00 AM,16.1,53,0.0,0.0,260.3,233,2.7,4.4,993.0,2
Foster Weather Station,09/28/2018 12:00:00 AM,17.06,40,,0.0,,224,2.5,2.7,991.9,0
63rd Street Weather Station,09/28/2018 01:00:00 AM,15.6,57,0.0,0.0,260.3,234,3.0,4.8,992.9,2
Foster Weather Station,09/28/2018 01:00:00 AM,16.78,42,,0.0,,219,1.2,1.5,991.9,0
63rd Street Weather Station,09/28/2018 03:00:00 AM,15.2,62,0.0,0.0,260.3,247,2.7,4.0,993.4,2
Foster Weather Station,09/28/2018 03:00:00 AM,15.67,48,,0.0,,223,1.9,2.3,992.2,0
63rd Street Weather Station,09/28/2018 04:00:00 AM,14.6,66,0.0,0.0,260.3,243,2.6,3.6,993.4,2
Foster Weather Station,09/28/2018 04:00:00 AM,15.06,51,,0.0,,187,1.1,1.4,992.2,0
63rd Street Weather Station,09/28/2018 05:00:00 AM,14.1,70,0.0,0.0,260.3,255,2.9,4.9,994.0,2
Foster Weather Station,09/28/2018 05:00:00 AM,14.5,55,,0.0,,210,1.8,2.2,993.2,0
63rd Street Weather Station,09/28/2018 06:00:00 AM,13.8,72,0.0,0.0,260.3,251,2.9,5.2,994.4,2
Foster Weather Station,09/28/2018 06:00:00 AM,14.17,57,,0.0,,216,1.6,1.8,993.6,0
63rd Street Weather Station,09/28/2018 07:00:00 AM,13.5,74,0.0,0.0,260.3,256,3.2,4.4,995.0,11
Foster Weather Station,09/28/2018 07:00:00 AM,13.89,60,,0.0,,240,1.7,2.3,994.2,0
63rd Street Weather Station,09/28/2018 08:00:00 AM,14.4,70,0.0,0.0,260.3,273,3.5,4.9,995.6,117
Foster Weather Station,09/28/2018 08:00:00 AM,14.17,61,,0.0,,225,1.4,1.7,994.6,0
63rd Street Weather Station,09/28/2018 09:00:00 AM,15.0,71,0.0,0.0,260.3,271,1.5,3.0,996.3,110
Foster Weather Station,09/28/2018 09:00:00 AM,14.78,62,,0.0,,284,1.0,1.2,995.6,0
63rd Street Weather Station,09/28/2018 10:00:00 AM,15.8,68,0.0,0.0,260.3,302,0.9,2.4,996.6,192
Foster Weather Station,09/28/2018 10:00:00 AM,15.39,60,,0.0,,287,1.5,1.6,995.9,0
